user_male,friends_male,friends_female
674,8,3
681,18,15
696,0,5
698,3,50
701,7,3
702,4,5
704,30,23
706,119,58
707,7,9
709,22,11
712,3,5
713,15,9
714,18,44
715,37,19
716,60,103
722,2,5
724,12,45
727,7,41
728,7,1
730,24,48
733,32,21
735,2,5
736,20,16
739,11,19
741,15,38
742,3,4
743,3,2
744,30,24
745,29,24
747,12,17
750,3,20
751,0,6
752,8,53
753,2,11
754,52,82
756,30,27
758,3,27
759,17,24
761,28,3
764,2,4
766,0,14
767,5,7
768,15,58
772,14,27
774,25,31
775,2,71
776,19,21
777,49,62
778,34,59
780,10,26
781,0,12
782,0,6
783,9,60
785,35,79
787,46,45
788,13,31
790,23,73
791,6,14
792,3,22
794,7,9
795,0,3
796,65,120
797,20,68
799,21,36
801,123,84
804,23,72
805,13,24
808,23,48
812,6,6
814,32,41
816,4,26
817,26,18
819,34,48
821,9,13
822,10,24
823,24,11
824,7,17
825,9,40
826,22,26
827,0,5
828,30,44
831,1,5
834,0,4
835,27,86
836,16,11
837,0,4
838,25,9
839,7,49
840,9,35
841,9,11
842,4,12
843,9,16
845,1,114
846,48,62
848,63,109
849,11,26
850,1,7
851,11,81
852,12,1
855,37,23
856,29,17
857,45,46
859,49,81
860,21,13
863,17,20
865,10,52
868,3,23
874,20,28
877,11,4
879,20,30
881,25,19
882,16,15
883,26,12
884,9,10
885,14,12
887,8,10
888,20,14
892,15,9
897,7,5
898,8,13
901,23,28
902,9,6
904,38,40
907,42,34
908,15,15
916,106,88
922,53,56
924,13,15
925,28,17
927,16,6
929,16,14
935,2,14
936,14,9
937,7,1
939,15,3
940,6,9
941,13,16
942,35,24
944,3,7
948,34,19
949,7,5
953,24,19
954,34,84
956,12,34
958,33,20
962,54,57
963,36,15
964,36,8
965,10,2
966,10,41
967,29,46
969,19,6
970,39,54
972,32,11
974,139,176
976,15,11
977,7,6
979,1,0
981,92,47
982,18,11
984,13,8
985,17,12
986,7,9
989,10,9
992,21,25
994,10,18
998,14,42
999,28,62
1001,15,47
1003,11,15
1005,29,9
1007,1,1
1008,23,13
1009,28,60
1014,35,28
1016,46,14
1021,20,311
1022,35,771
1023,20,364
1025,19,71
1026,3,5
1028,10,39
1029,11,43
1032,33,54
1033,29,30
1035,12,27
1036,28,18
1038,6,134
1041,37,35
1048,12,21
1054,21,11
1055,40,17
1061,6,16
1062,24,7
1063,7,6
1065,34,26
1066,9,4
1068,8,8
1069,16,8
1072,20,38
1073,96,107
1077,17,15
1080,26,18
1083,12,17
1084,19,12
1085,37,27
1090,44,47
1092,12,15
1093,40,60
1094,15,58
1096,67,58
1098,21,30
1100,18,8
1103,31,52
1107,43,15
1108,16,10
1111,18,20
1112,7,1
1116,6,3
1123,12,6
1124,19,11
1125,9,2
1128,8,17
1129,22,42
1134,16,17
1139,16,7
1140,11,10
1141,44,22
1142,44,25
1146,4,9
1147,29,102
1148,51,67
1149,99,147
1152,10,10
1154,28,63
1155,11,5
1156,37,30
1158,32,14
1159,31,64
1161,36,38
1164,4,19
1166,14,7
1167,6,5
1168,17,37
1169,21,10
1170,29,14
1171,23,6
1172,6,8
1174,30,40
1175,23,23
1177,5,2
1179,13,23
1180,20,13
1181,57,49
1183,24,10
1184,14,11
1185,32,14
1187,2,7
1190,13,22
1192,11,13
1195,5,4
1196,29,30
1197,101,36
1198,55,80
1199,7,29
1200,8,1
1202,33,52
1203,0,1
1205,25,26
1206,14,10
1208,7,8
1210,37,54
1211,6,13
1212,30,24
1214,25,38
1220,19,20
1226,58,57
1227,45,36
1229,54,45
1231,23,20
1234,15,3
1239,39,19
1240,24,8
1244,12,2
1245,36,21
1246,24,35
1248,16,37
1249,32,22
1252,31,25
1253,42,24
1254,36,40
1255,31,46
1258,21,9
1261,28,21
1262,15,20
1263,12,10
1266,5,7
1267,14,8
1269,16,22
1270,26,72
1274,22,30
1280,1,6
1282,4,8
1286,12,12
1289,28,33
1295,15,4
1296,6,0
1297,20,21
1298,3,3
1299,67,10
1300,37,49
1301,13,10
1303,9,2
1306,13,15
1307,41,6
1308,15,4
1313,2,3
1314,3,4
1319,8,6
1322,11,4
1323,9,22
1324,12,16
1330,20,20
1353,16,42
1387,2,1
1388,6,20
1390,21,6
1391,29,35
1393,15,45
1396,90,78
1397,23,10
1398,19,6
1399,72,27
1400,26,16
1403,25,30
1404,40,70
1405,15,17
1406,22,19
1407,15,14
1409,31,25
1410,35,60
1413,21,16
1417,20,11
1419,26,23
1420,27,33
1422,66,47
1423,36,23
1424,100,71
1425,42,38
1432,10,4
1433,17,28
1440,58,51
1441,83,105
1443,13,15
1448,15,27
1449,30,26
1452,43,18
1453,23,14
1454,0,7
1456,12,3
1458,32,110
1459,24,29
1461,9,6
1462,7,6
1463,23,25
1464,56,53
1466,7,17
1468,17,18
1469,8,7
1475,6,13
1478,44,37
1479,20,37
1480,84,122
1482,2,712
1483,82,86
1484,7,50
1485,23,74
1487,13,23
1488,8,10
1491,35,116
1492,11,23
1493,22,19
1494,0,20
1496,59,3
1497,55,44
1499,11,8
1500,5,26
1502,38,49
1503,17,64
1504,13,18
1505,24,10
1509,9,11
1510,14,12
1512,11,24
1514,6,9
1515,11,13
1517,0,12
1519,15,50
1520,4,9
1521,15,33
1522,6,8
1523,19,38
1527,6,50
1528,21,31
1531,18,17
1532,66,24
1533,2,7
1534,22,19
1535,31,71
1545,13,25
1548,16,7
1549,9,34
1552,11,10
1554,19,45
1555,42,59
1556,64,74
1557,0,7
1558,0,21
1559,0,14
1561,12,9
1562,0,10
1563,8,77
1564,4,11
1565,41,64
1566,15,18
1567,50,12
1568,0,36
1569,7,55
1570,0,30
1571,40,60
1572,0,5
1573,0,14
1574,0,122
1575,0,18
1577,6,26
1578,3,18
1580,1,62
1582,6,19
1584,22,51
1586,4,2
1587,2,11
1588,5,24
1589,1,5
1590,21,45
1592,22,19
1593,28,40
1594,14,164
1595,8,20
1597,22,12
1598,15,25
1600,16,27
1604,2,2
1606,8,10
1611,26,31
1615,11,4
1618,55,72
1619,12,28
1620,12,10
1621,37,66
1630,11,22
1632,11,59
1635,20,16
1637,6,11
1638,4,11
1639,30,66
1640,8,18
1642,11,11
1645,3,12
1647,0,5
1649,35,111
1650,8,14
1656,9,14
1658,15,9
1669,15,15
1671,28,29
1672,33,98
1673,12,24
1678,16,44
1681,7,21
1683,18,16
1689,13,18
1691,14,25
1694,5,13
1696,42,10
1697,1,27
1699,1,130
1700,17,17
1701,25,3
1702,6,0
1705,13,15
1712,14,35
1715,25,16
1719,13,13
1720,8,33
1722,31,25
1728,4,2
1733,14,44
1737,17,20
1740,13,122
1741,14,9
1742,19,31
1744,10,9
1745,19,59
1748,6,5
1749,31,29
1753,4,17
1755,4,3
1758,34,99
1761,7,44
1764,8,17
1766,15,11
1774,10,2
1775,59,71
1779,27,1
1780,2,12
1782,12,17
1785,54,19
1788,23,19
1790,12,13
1792,29,41
1795,19,14
1796,30,61
1798,42,32
1800,7,6
1802,13,5
1803,16,9
1806,28,50
1807,3,4
1812,2,11
1814,6,3
1815,42,33
1816,20,3
1822,4,6
1823,10,21
1824,0,6
1827,18,11
1830,633,1124
1832,17,13
1834,13,25
1835,10,109
1836,16,22
1837,19,18
1839,37,40
1840,32,58
1841,54,40
1843,60,27
1847,25,3
1849,8,13
1850,12,4
1852,71,68
1856,13,13
1857,14,17
1863,7,6
1865,17,17
1866,73,55
1867,21,43
1870,24,32
1871,5,14
1872,0,3
1873,6,11
1875,2,25
1876,1,3
1877,14,19
1878,1,40
1879,6,18
1881,12,23
1882,4,26
1884,2,3
1886,51,235
1887,1,190
1888,1,559
1889,0,1
1890,3,4
1891,3224,4340
1896,39,28
1897,3,124
1901,7,15
1905,23,20
1906,19,22
1907,19,9
1908,43,39
1911,14,5
1912,8,8
1915,60,69
1918,20,51
1920,44,33
1921,28,10
1923,0,10
1927,3,6
1928,12,51
1930,43,73
1932,0,18
1933,0,46
1935,32,29
1936,13,194
1938,26,25
1939,9,53
1941,27,17
1943,49,50
1944,4,21
1945,3,78
1946,31,7
1949,26,14
1953,23,25
1954,16,17
1955,7,8
1959,12,18
1960,3,2
1964,13,36
1965,29,25
1966,11,13
1969,62,56
1970,12,13
1971,23,18
1973,46,47
1977,41,37
1978,14,34
1979,36,39
1980,11,16
1981,16,12
1986,5,23
1987,0,11
1988,8,8
1990,32,45
1993,0,3
1994,21,18
1995,19,28
2001,1,24
2003,3,22
2004,29,21
2006,10,64
2007,26,66
2008,7,145
2009,6,8
2010,10,109
2011,1,42
2012,0,4
2013,26,40
2014,8,25
2015,11,31
2019,14,19
2020,6,3
2021,2,0
2025,14,7
2029,13,10
2033,50,28
2034,32,64
2035,7,12
2036,36,23
2037,13,10
2039,15,43
2041,20,7
2044,12,23
2046,17,14
2051,7,31
2054,9,21
2061,18,16
2062,16,10
2063,7,25
2066,13,5
2068,46,107
2069,1,60
2071,1,2
2074,1,49
2082,29,14
2083,14,4
2086,10,19
2087,7,15
2088,4,16
2091,2,15
2092,1,37
2094,5,17
2095,26,55
2097,13,45
2100,3,6
2103,53,68
2106,78,84
2108,40,21
2112,20,6
2113,27,26
2114,63,23
2115,5,0
2117,49,63
2129,3,0
2132,5,5
2133,35,25
2135,35,25
2139,9,2
2142,81,2
2146,4,0
2149,9,2
2150,25,18
2152,4,2
2154,16,44
2155,11,12
2156,25,13
2160,10,8
2162,8,5
2163,0,9
2164,24,34
2165,8,84
2166,0,62
2167,3,12
2169,8,29
2170,4,803
2171,15,31
2172,18,143
2174,5,39
2175,3,19
2177,34,99
2178,3,21
2179,8,24
2180,7,63
2181,0,37
2182,6,37
2183,0,2
2184,29,51
2185,12,46
2186,1,38
2187,71,104
2188,12,39
2189,5,29
2190,1,6
2192,4,243
2193,8,133
2194,2,33
2195,4,14
2196,13,3
2197,1,20
2199,7,12
2200,5,11
2201,8,65
2202,11,10
2203,9,49
2204,10,35
2205,56,54
2206,13,40
2208,18,35
2210,10,29
2211,0,4
2212,0,7
2213,0,103
2214,17,14
2215,2,23
2216,10,61
2218,1,114
2219,8,104
2220,4,122
2221,15,501
2222,0,20
2223,3,12
2224,7,5
2225,11,28
2226,9,30
2227,3,18
2228,1,28
2229,3,8
2230,22,882
2231,23,25
2232,6,37
2234,14,49
2245,4,11
2255,12,13
2256,7,22
2258,18,41
2260,3,11
2262,2,9
2267,16,21
2268,10,10
2271,10,334
2272,7,4
2273,18,13
2274,10,25
2276,7,23
2278,40,101
2279,53,109
2281,12,19
2282,0,123
2283,11,21
2284,7,13
2285,9,21
2286,15,45
2289,5,8
2290,1,9
2292,26,141
2294,37,61
2295,1,98
2296,9,87
2298,24,32
2300,21,14
2304,24,36
2306,12,7
2308,8,344
2310,11,16
2311,9,25
2312,2,52
2314,24,19
2316,3,8
2317,36,76
2319,13,27
2320,26,68
2321,13,10
2325,9,5
2345,12,10
2347,4,19
2350,6,61
2351,13,32
2362,11,40
2364,4,22
2365,1,1
2366,3,0
2368,1,0
2369,25,10
2370,11,2
2372,2,0
2374,5,34
2375,2,13
2376,8,32
2377,2,8
2379,16,12
2384,3,12
2386,39,61
2387,5,31
2389,0,11
2390,7,92
2394,15,39
2395,20,13
2396,36,68
2397,0,131
2398,20,14
2401,27,76
2402,0,3
2403,18,55
2404,43,21
2414,32,22
2423,45,22
2424,21,18
2425,9,57
2426,20,21
2430,43,134
2431,433,185
2432,10,38
2433,4,3
2434,63,97
2436,19,26
2437,21,23
2440,5,10
2443,14,21
2444,28,56
2448,4,9
2449,8,6
2451,26,7
2456,22,24
2458,44,65
2461,3,10
2466,10,34
2467,4,12
2468,21,47
2469,20,92
2470,4,18
2471,34,78
2473,16,14
2474,23,16
2475,4,12
2478,5,22
2480,18,22
2482,29,30
2484,48,62
2485,60,31
2486,30,33
2488,6,3
2489,11,0
2490,69,71
2492,7,11
2493,25,11
2494,44,30
2499,8,10
2500,30,21
2501,1,0
2502,46,24
2505,0,51
2506,7,32
2507,10,27
2508,5,4
2509,1,32
2512,2,22
2513,7,10
2514,0,11
2518,4,20
2522,116,127
2525,4,18
2527,9,13
2530,21,27
2537,32,18
2541,19,20
2543,1,5
2552,16,21
2561,8,8
2562,19,26
2564,15,25
2565,5,17
2566,12,28
2567,21,47
2572,5,11
2573,7,6
2574,11,67
2577,10,8
2578,10,5
2580,17,16
2581,3,3
2583,3,10
2584,14,130
2586,8,13
2587,32,62
2589,13,55
2591,18,29
2594,16,9
2595,10,18
2596,4,7
2606,6,1
2616,8,3
2617,27,20
2620,33,34
2622,14,16
2624,20,13
2627,4,5
2634,9,15
2635,1,7
2640,17,19
2645,0,1
2646,21,122
2650,1,4
2652,14,7
2658,2,1
2659,21,60
2660,15,20
2661,16,9
2662,9,19
2663,10,19
2664,10,9
2666,4,6
2667,14,18
2670,1,8
2673,10,23
2677,30,53
2678,17,45
2682,8,8
2683,20,10
2684,9,9
2685,5,10
2686,15,15
2687,17,8
2688,22,37
2689,5,7
2690,8,2
2694,16,12
2695,20,4
2701,3,8
2702,0,79
2703,39,28
2704,8,12
2705,2,34
2706,0,7
2707,2,28
2708,4,16
2709,8,13
2710,1,3
2711,1,116
2712,0,4
2715,11,13
2716,10,33
2719,5,7
2720,11,36
2722,8,4
2724,3,10
2725,2,20
2726,9,16
2727,5,6
2729,23,96
2730,43,44
2732,6,102
2734,4,16
2735,72,50
2737,2,11
2740,2,2
2742,2,9
2743,25,69
2745,7,5
2751,4,11
2753,20,42
2756,13,30
2761,7,10
2762,8,20
2763,11,5
2765,10,11
2770,0,55
2772,8,21
2773,4,10
2774,2,19
2776,7,2
2777,17,9
2781,15,18
2784,7,18
2786,15,18
2787,28,39
2788,12,13
2790,9,14
2798,3,3
2800,11,65
2803,0,5
2805,1,39
2806,18,14
2807,0,9
2808,26,19
2810,3,13
2812,0,54
2813,4,17
2815,7,7
2816,37,14
2817,59,109
2818,52,60
2819,26,36
2820,31,80
2824,15,11
2826,64,57
2828,20,28
2829,33,79
2830,0,23
2832,2,3
2833,11,26
2835,0,5
2836,2,5
2845,5,8
2848,0,8
2853,8,10
2856,29,13
2859,24,9
2860,18,2
2864,68,46
2865,16,9
2866,38,13
2867,30,91
2869,37,57
2870,12,2
2874,32,20
2878,11,12
2879,21,46
2880,4,14
2882,2,4
2883,18,40
2884,14,16
2885,50,38
2887,2,57
2888,0,1
2892,16,24
2895,36,82
2898,9,18
2903,4,8
2906,37,34
2910,22,19
2912,8,1
2913,25,67
2915,31,13
2917,40,45
2919,30,28
2920,12,6
2921,51,115
2922,20,20
2924,5,5
2925,33,64
2926,6,6
2929,16,11
2931,23,65
2932,14,0
2934,3,29
2939,20,22
2941,19,23
2945,4,29
2949,22,19
2950,13,7
2952,9,3
2953,12,17
2955,6,15
2956,13,18
2957,7,11
2958,15,10
2959,39,44
2960,0,22
2961,1,39
2962,9,14
2963,6,11
2964,26,39
2965,15,23
2966,1,15
2967,0,7
2968,6,10
2969,25,11
2970,22,31
2972,15,32
2974,37,19
2975,24,20
2977,9,6
2979,8,5
2982,8,8
2983,12,42
2985,9,2
2987,9,3
2989,45,18
2991,11,16
2994,19,14
2997,20,9
3002,20,50
3008,3,9
3011,13,27
3015,1,18
3026,17,9
3032,1,6
3035,35,66
3038,36,48
3040,28,21
3043,0,6
3048,27,36
3053,15,11
3057,19,18
3059,15,24
3060,6,55
3061,6,10
3064,24,11
3071,18,17
3075,21,25
3078,10,6
3083,18,10
3087,15,36
3088,10,46
3089,19,14
3091,20,7
3093,32,59
3094,58,37
3095,41,30
3096,11,8
3097,13,15
3098,15,17
3100,1,1
3101,28,55
3104,3,2
3115,6,14
3119,7,15
3121,2,4
3125,30,25
3127,16,152
3129,22,24
3132,34,17
3133,11,39
3135,2,3
3136,28,16
3139,96,95
3141,15,20
3143,14,8
3145,24,30
3146,21,4
3148,17,45
3149,5,11
3150,7,13
3151,10,26
3155,12,16
3156,18,41
3163,12,4
3178,32,23
3180,62,62
3181,42,23
3182,14,4
3183,12,23
3184,23,20
3185,36,22
3188,55,41
3190,16,79
3191,19,18
3196,4,36
3212,7,19
3223,27,54
3224,10,4
3228,8,7
3242,9,4
3248,5,39
3256,6,6
3264,8,7
3268,64,129
3269,25,20
3270,13,23
3277,27,44
3289,9,7
3290,1,2
3297,15,4
3298,13,7
3305,11,14
3307,20,12
3308,41,33
3309,36,41
3310,64,76
3311,34,61
3313,8,44
3314,20,11
3318,14,20
3320,18,40
3324,0,36
3325,1,9
3326,31,23
3327,0,17
3328,0,1
3331,9,29
3332,10,79
3334,14,20
3335,93,213
3338,5,7
3341,19,29
3343,40,25
3351,27,13
3356,9,23
3359,17,16
3360,27,20
3361,53,164
3362,24,35
3368,10,12
3375,34,44
3376,14,16
3377,11,10
3378,21,27
3385,18,3
3386,16,9
3387,49,32
3393,21,33
3394,19,1
3395,7,3
3396,14,15
3398,43,50
3399,4,15
3400,10,14
3401,47,3
3402,29,43
3403,21,11
3405,12,36
3406,6,4
3407,9,10
3415,2,5
3418,2,8
3420,10,34
3422,38,11
3423,22,28
3425,36,27
3427,10,177
3428,19,29
3431,2,12
3432,8,25
3435,11,26
3437,25,27
3442,12,8
3444,12,1
3446,9,12
3451,20,18
3452,21,15
3453,34,48
3455,1,9
3457,20,8
3467,100,188
3469,13,14
3470,8,5
3473,42,19
3477,42,8
3478,31,76
3482,5,3
3486,13,35
3487,25,35
3488,12,10
3495,24,40
3497,23,22
3502,27,56
3504,4,2
3505,25,25
3506,32,24
3507,34,20
3508,39,18
3509,44,29
3510,21,67
3511,20,5
3513,27,28
3514,16,13
3515,21,3
3516,55,55
3517,20,27
3518,22,3
3519,65,53
3527,37,41
3528,39,23
3529,53,175
3530,59,82
3531,84,78
3532,89,98
3534,10,13
3535,2,23
3545,2,0
3547,49,62
3549,28,27
3552,11,6
3555,50,2
3559,39,28
3560,35,23
3562,8,1
3563,25,13
3570,13,7
3574,25,13
3578,33,37
3579,8,14
3582,51,103
3586,22,9
3591,16,10
3595,27,27
3596,12,11
3597,48,31
3598,77,79
3599,50,60
3600,45,16
3602,13,3
3604,20,38
3605,13,11
3606,36,19
3607,28,31
3612,30,20
3613,16,23
3615,47,48
3619,22,34
3620,41,41
3624,35,102
3629,49,95
3631,33,24
3633,2,9
3636,14,11
3637,44,44
3639,16,28
3642,7,11
3643,1,76
3644,2,8
3647,17,12
3648,10,25
3650,10,39
3651,11,34
3654,16,10
3658,1,3
3665,42,53
3668,31,49
3674,13,3
3677,10,19
3678,43,9
3679,33,12
3680,20,10
3683,10,3
3685,9,3
3686,23,15
3690,1,2
3693,45,41
3694,12,14
3698,2,0
3702,8,14
3703,5,11
3708,4,15
3710,17,14
3712,19,47
3713,11,16
3714,4,0
3715,46,23
3718,0,7
3721,8,13
3723,9,36
3725,17,10
3727,13,15
3731,17,3
3734,7,5
3736,11,10
3738,28,22
3740,35,26
3741,24,36
3743,39,25
3744,31,16
3748,26,27
3749,21,32
3751,35,40
3753,4,8
3755,11,112
3759,39,27
3760,4,13
3763,21,78
3768,3,13
3771,4,4
3772,16,15
3773,13,59
3774,5,23
3775,0,20
3776,78,71
3777,11,20
3781,26,33
3782,1,7
3783,3,1
3784,44,885
3785,6,4
3786,16,42
3787,18,68
3788,2,57
3789,32,27
3792,2,304
3794,5,23
3796,9,19
3798,13,7
3800,15,20
3801,9,5
3803,13,16
3804,76,66
3809,5,1
3811,12,8
3814,3,5
3816,6,13
3817,13,9
3818,89,101
3819,45,42
3820,24,12
3823,34,22
3824,5,5
3825,16,13
3829,32,18
3831,20,45
3834,11,27
3836,13,7
3840,63,37
3843,6,8
3848,7,11
3849,8,2
3850,10,5
3851,16,19
3853,13,32
3854,43,51
3855,16,65
3856,14,6
3857,10,15
3858,26,13
3862,20,83
3863,19,55
3864,13,70
3865,3,6
3867,17,25
3868,2,3
3870,20,11
3871,21,27
3873,45,50
3875,36,46
3876,15,43
3878,24,13
3883,4,204
3887,18,10
3889,21,97
3896,39,30
3900,21,23
3903,14,12
3904,37,19
3906,34,7
3907,7,31
3908,80,89
3911,20,21
3915,17,12
3917,39,15
3918,39,22
3921,18,23
3922,28,67
3923,23,16
3933,36,25
3947,19,30
3949,0,128
3951,32,32
3952,68,100
3955,33,42
3962,44,30
3965,23,17
3966,37,62
3967,21,22
3968,15,3
3974,3,8
3980,16,22
3981,18,14
3983,12,16
3985,16,8
3988,12,34
3989,19,7
3994,12,9
3995,8,5
3999,26,38
4003,75,47
4008,46,27
4012,17,15
4013,10,6
4015,25,11
4020,56,108
4022,15,23
4023,6,14
4024,27,189
4026,75,43
4027,21,52
4031,36,26
4032,4,38
4033,39,71
4035,16,67
4036,51,36
4038,13,20
4041,23,34
4042,6,30
4045,10,18
4046,22,30
4047,38,27
4049,9,31
4050,18,21
4051,45,26
4053,23,35
4054,1,86
4055,32,27
4061,8,4
4065,2,9
4068,1,5
4069,2,6
4071,10,28
4072,4,12
4074,4,2
4075,18,15
4077,32,44
4078,93,224
4083,26,31
4085,14,31
4089,57,66
4092,21,39
4096,55,109
4098,56,29
4101,33,26
4102,0,103
4103,22,25
4105,59,86
4109,26,19
4110,40,9
4111,18,3
4114,1,29
4115,38,13
4123,25,43
4129,13,7
4134,4,10
4137,2,3
4141,19,22
4144,23,54
4154,9,13
4159,66,29
4161,20,41
4164,14,10
4167,1,2
4173,36,38
4179,26,19
4180,26,15
4182,22,25
4184,24,17
4185,49,47
4187,33,38
4194,69,67
4195,4,4
4196,33,31
4197,14,11
4198,44,36
4200,18,29
4201,33,25
4203,10,28
4204,26,39
4205,22,15
4207,8,24
4211,4,15
4214,16,13
4218,15,23
4219,4,5
4220,23,18
4221,15,4
4222,50,90
4223,12,14
4224,31,21
4225,33,34
4229,10,21
4233,3,0
4235,15,25
4236,51,56
4237,11,24
4239,30,59
4241,38,63
4243,16,25
4245,15,8
4246,13,35
4247,17,27
4250,3,3
4254,15,53
4255,19,14
4256,50,60
4259,43,28
4262,12,24
4264,6,6
4265,7,4
4266,59,37
4267,39,79
4268,13,22
4270,3,5
4272,19,32
4275,17,32
4278,6,16
4279,28,25
4281,13,15
4282,6,3
4283,23,26
4284,12,10
4285,34,28
4289,34,90
4294,17,41
4297,21,93
4309,19,5
4310,19,28
4312,17,20
4313,3,272
4314,0,99
4319,8,32
4321,54,93
4325,10,17
4328,5,28
4329,7,15
4332,22,92
4335,4,11
4336,55,72
4338,10,12
4339,24,7
4340,61,55
4341,29,20
4344,3,1
4345,9,5
4347,4,2
4348,36,13
4349,3,2
4351,137,109
4354,15,29
4356,16,9
4357,2,4
4358,37,45
4360,9,4
4362,136,145
4365,20,53
4367,18,6
4372,11,12
4373,20,57
4374,15,8
4380,11,2
4382,25,9
4384,55,22
4387,6,5
4394,21,30
4395,33,26
4396,18,27
4397,12,22
4398,24,7
4401,9,23
4404,27,40
4407,5,5
4409,3,5
4410,3,7
4415,34,13
4425,32,12
4429,30,50
4430,10,19
4439,22,21
4443,57,0
4450,0,2
4451,23,8
4452,0,18
4454,2,10
4455,10,34
4459,19,47
4461,6,30
4462,27,15
4464,1,113
4466,28,28
4467,44,48
4469,34,20
4470,48,86
4472,8,43
4475,8,27
4477,17,6
4478,0,2
4479,1,0
4480,2,20
4481,8,30
4482,18,14
4484,21,34
4486,7,47
4488,23,31
4489,11,19
4490,29,29
4491,2,8
4492,0,17
4493,19,18
4494,5,38
4496,7,12
4502,90,147
4503,13,57
4504,40,28
4507,2,3
4508,4,44
4512,1,54
4516,33,71
4517,14,17
4518,10,28
4520,8,5
4521,10,26
4523,22,63
4525,1,53
4527,17,5
4532,24,24
4533,12,33
4535,17,37
4536,89,136
4537,4,734
4538,31,142
4539,35,45
4542,25,26
4544,40,28
4546,32,25
4547,2,10
4548,23,76
4549,41,62
4551,51,35
4553,6,7
4554,16,9
4555,22,7
4556,28,30
4557,32,21
4559,5,1
4560,36,48
4562,35,37
4563,32,30
4566,31,18
4569,57,38
4570,34,17
4571,32,44
4572,19,15
4573,74,58
4575,16,22
4577,14,9
4579,21,11
4580,25,15
4581,16,27
4583,19,8
4584,46,57
4586,19,40
4587,0,56
4588,2,47
4589,41,39
4590,33,45
4593,26,14
4594,24,16
4595,70,200
4596,16,19
4597,74,113
4598,109,256
4599,35,23
4603,12,25
4604,25,124
4605,17,25
4606,18,33
4608,52,54
4609,7,13
4614,10,4
4616,0,2
4619,31,57
4620,11,13
4624,24,10
4627,17,11
4629,21,22
4630,45,28
4631,10,34
4632,29,33
4633,26,47
4634,14,33
4635,8,22
4638,8,18
4641,31,18
4642,17,1
4644,10,13
4646,12,13
4648,18,33
4649,49,90
4661,45,45
4669,52,64
4672,14,13
4682,28,53
4683,65,33
4684,4,13
4685,41,35
4686,35,18
