user_male,friends_male,friends_female
674,8,3
681,18,15
696,0,5
698,3,50
701,7,3
702,4,5
704,30,23
706,119,58
707,7,9
709,22,11
712,3,5
713,15,9
714,18,44
715,37,19
716,60,103
722,2,5
724,12,45
727,7,41
728,7,1
730,24,48
733,32,21
735,2,5
736,20,16
739,11,19
741,15,38
742,3,4
743,3,2
744,30,24
745,29,24
747,12,17
750,3,20
751,0,6
752,8,53
753,2,11
754,52,82
756,30,27
758,3,27
759,17,24
761,28,3
764,2,4
766,0,14
767,5,7
768,15,58
772,14,27
774,25,31
775,2,71
776,19,21
777,49,62
778,34,59
780,10,26
781,0,12
782,0,6
783,9,60
785,35,79
787,46,45
788,13,31
790,23,73
791,6,14
792,3,22
794,7,9
795,0,3
796,65,120
797,20,68
799,21,36
801,123,84
804,23,72
805,13,24
808,23,48
812,6,6
814,32,41
816,4,26
817,26,18
819,34,48
821,9,13
822,10,24
823,24,11
824,7,17
825,9,40
826,22,26
827,0,5
828,30,44
831,1,5
834,0,4
835,27,86
836,16,11
837,0,4
838,25,9
839,7,49
840,9,35
841,9,11
842,4,12
843,9,16
845,1,114
846,48,62
848,63,109
849,11,26
850,1,7
851,11,81
852,12,1
855,37,23
856,29,17
857,45,46
859,49,81
860,21,13
863,17,20
865,10,52
868,3,23
874,20,28
877,11,4
879,20,30
881,25,19
882,16,15
883,26,12
884,9,10
885,14,12
887,8,10
888,20,14
892,15,9
897,7,5
898,8,13
901,23,28
902,9,6
904,38,40
907,42,34
908,15,15
916,106,88
922,53,56
924,13,15
925,28,17
927,16,6
929,16,14
935,2,14
936,14,9
937,7,1
939,15,3
940,6,9
941,13,16
942,35,24
944,3,7
948,34,19
949,7,5
953,24,19
954,34,84
956,12,34
958,33,20
962,54,57
963,36,15
964,36,8
965,10,2
966,10,41
967,29,46
969,19,6
970,39,54
972,32,11
974,139,176
976,15,11
977,7,6
979,1,0
981,92,47
982,18,11
984,13,8
985,17,12
986,7,9
989,10,9
992,21,25
994,10,18
998,14,42
999,28,62
1001,15,47
1003,11,15
1005,29,9
1007,1,1
1008,23,13
1009,28,60
1014,35,28
1016,46,14
1021,20,311
1022,35,771
1023,20,364
1025,19,71
1026,3,5
1028,10,39
1029,11,43
1032,33,54
1033,29,30
1035,12,27
1036,28,18
1038,6,134
1041,37,35
1048,12,21
1054,21,11
1055,40,17
1061,6,16
1062,24,7
1063,7,6
1065,34,26
1066,9,4
1068,8,8
1069,16,8
1072,20,38
1073,96,107
1077,17,15
1080,26,18
1083,12,17
1084,19,12
1085,37,27
1090,44,47
1092,12,15
1093,40,60
1094,15,58
1096,67,58
1098,21,30
1100,18,8
1103,31,52
1107,43,15
1108,16,10
1111,18,20
1112,7,1
1116,6,3
1123,12,6
1124,19,11
1125,9,2
1128,8,17
1129,22,42
1134,16,17
1139,16,7
1140,11,10
1141,44,22
1142,44,25
1146,4,9
1147,29,102
1148,51,67
1149,99,147
1152,10,10
1154,28,63
1155,11,5
1156,37,30
1158,32,14
1159,31,64
1161,36,38
1164,4,19
1166,14,7
1167,6,5
1168,17,37
1169,21,10
1170,29,14
1171,23,6
1172,6,8
1174,30,40
1175,23,23
1177,5,2
1179,13,23
1180,20,13
1181,57,49
1183,24,10
1184,14,11
1185,32,14
1187,2,7
1190,13,22
1192,11,13
1195,5,4
1196,29,30
1197,101,36
1198,55,80
1199,7,29
1200,8,1
1202,33,52
1203,0,1
1205,25,26
1206,14,10
1208,7,8
1210,37,54
1211,6,13
1212,30,24
1214,25,38
1220,19,20
1226,58,57
1227,45,36
1229,54,45
1231,23,20
1234,15,3
1239,39,19
1240,24,8
1244,12,2
1245,36,21
1246,24,35
1248,16,37
1249,32,22
1252,31,25
1253,42,24
1254,36,40
1255,31,46
1258,21,9
1261,28,21
1262,15,20
1263,12,10
1266,5,7
1267,14,8
1269,16,22
1270,26,72
1274,22,30
1280,1,6
1282,4,8
1286,12,12
1289,28,33
1295,15,4
1296,6,0
1297,20,21
1298,3,3
1299,67,10
1300,37,49
1301,13,10
1303,9,2
1306,13,15
1307,41,6
1308,15,4
1313,2,3
1314,3,4
1319,8,6
1322,11,4
1323,9,22
1324,12,16
1330,20,20
1353,16,42
1387,2,1
1388,6,20
1390,21,6
1391,29,35
1393,15,45
1396,90,78
1397,23,10
1398,19,6
1399,72,27
1400,26,16
1403,25,30
1404,40,70
1405,15,17
1406,22,19
1407,15,14
1409,31,25
1410,35,60
1413,21,16
1417,20,11
1419,26,23
1420,27,33
1422,66,47
1423,36,23
1424,100,71
1425,42,38
1432,10,4
1433,17,28
1440,58,51
1441,83,105
1443,13,15
1448,15,27
1449,30,26
1452,43,18
1453,23,14
1454,0,7
1456,12,3
1458,32,110
1459,24,29
1461,9,6
1462,7,6
1463,23,25
1464,56,53
1466,7,17
1468,17,18
1469,8,7
1475,6,13
1478,44,37
1479,20,37
1480,84,122
1482,2,712
1483,82,86
1484,7,50
1485,23,74
1487,13,23
1488,8,10
1491,35,116
1492,11,23
1493,22,19
1494,0,20
1496,59,3
1497,55,44
1499,11,8
1500,5,26
1502,38,49
1503,17,64
1504,13,18
1505,24,10
1509,9,11
1510,14,12
1512,11,24
1514,6,9
1515,11,13
1517,0,12
1519,15,50
1520,4,9
1521,15,33
1522,6,8
1523,19,38
1527,6,50
1528,21,31
1531,18,17
1532,66,24
1533,2,7
1534,22,19
1535,31,71
1545,13,25
1548,16,7
1549,9,34
1552,11,10
1554,19,45
1555,42,59
1556,64,74
1557,0,7
1558,0,21
1559,0,14
1561,12,9
1562,0,10
1563,8,77
1564,4,11
1565,41,64
1566,15,18
1567,50,12
1568,0,36
1569,7,55
1570,0,30
1571,40,60
1572,0,5
1573,0,14
1574,0,122
1575,0,18
1577,6,26
1578,3,18
1580,1,62
1582,6,19
1584,22,51
1586,4,2
1587,2,11
1588,5,24
1589,1,5
1590,21,45
1592,22,19
1593,28,40
1594,14,164
1595,8,20
1597,22,12
1598,15,25
1600,16,27
1604,2,2
1606,8,10
1611,26,31
1615,11,4
1618,55,72
1619,12,28
1620,12,10
1621,37,66
1630,11,22
1632,11,59
1635,20,16
1637,6,11
1638,4,11
1639,30,66
1640,8,18
1642,11,11
1645,3,12
1647,0,5
1649,35,111
1650,8,14
1656,9,14
1658,15,9
1669,15,15
1671,28,29
1672,33,98
1673,12,24
1678,16,44
1681,7,21
1683,18,16
1689,13,18
1691,14,25
1694,5,13
1696,42,10
1697,1,27
1699,1,130
1700,17,17
1701,25,3
1702,6,0
1705,13,15
1712,14,35
1715,25,16
1719,13,13
1720,8,33
1722,31,25
1728,4,2
1733,14,44
1737,17,20
1740,13,122
1741,14,9
1742,19,31
1744,10,9
1745,19,59
1748,6,5
1749,31,29
1753,4,17
1755,4,3
1758,34,99
1761,7,44
1764,8,17
1766,15,11
1774,10,2
1775,59,71
1779,27,1
1780,2,12
1782,12,17
1785,54,19
1788,23,19
1790,12,13
1792,29,41
1795,19,14
1796,30,61
1798,42,32
1800,7,6
1802,13,5
1803,16,9
1806,28,50
1807,3,4
1812,2,11
1814,6,3
1815,42,33
1816,20,3
1822,4,6
1823,10,21
1824,0,6
1827,18,11
1830,633,1124
1832,17,13
1834,13,25
1835,10,109
1836,16,22
1837,19,18
1839,37,40
1840,32,58
1841,54,40
1843,60,27
1847,25,3
1849,8,13
1850,12,4
1852,71,68
1856,13,13
1857,14,17
1863,7,6
1865,17,17
1866,73,55
1867,21,43
1870,24,32
1871,5,14
1872,0,3
1873,6,11
1875,2,25
1876,1,3
1877,14,19
1878,1,40
1879,6,18
1881,12,23
1882,4,26
1884,2,3
1886,51,235
1887,1,190
1888,1,559
1889,0,1
1890,3,4
1891,3224,4340
1896,39,28
1897,3,124
1901,7,15
1905,23,20
1906,19,22
1907,19,9
1908,43,39
1911,14,5
1912,8,8
1915,60,69
1918,20,51
1920,44,33
1921,28,10
1923,0,10
1927,3,6
1928,12,51
1930,43,73
1932,0,18
1933,0,46
1935,32,29
1936,13,194
1938,26,25
1939,9,53
1941,27,17
1943,49,50
1944,4,21
1945,3,78
1946,31,7
1949,26,14
1953,23,25
1954,16,17
1955,7,8
1959,12,18
1960,3,2
1964,13,36
1965,29,25
1966,11,13
1969,62,56
1970,12,13
1971,23,18
1973,46,47
1977,41,37
1978,14,34
1979,36,39
1980,11,16
1981,16,12
1986,5,23
1987,0,11
1988,8,8
1990,32,45
1993,0,3
1994,21,18
1995,19,28
2001,1,24
2003,3,22
2004,29,21
2006,10,64
2007,26,66
2008,7,145
2009,6,8
2010,10,109
2011,1,42
2012,0,4
2013,26,40
2014,8,25
2015,11,31
2019,14,19
2020,6,3
2021,2,0
2025,14,7
2029,13,10
2033,50,28
2034,32,64
2035,7,12
2036,36,23
2037,13,10
2039,15,43
2041,20,7
2044,12,23
2046,17,14
2051,7,31
2054,9,21
2061,18,16
2062,16,10
2063,7,25
2066,13,5
2068,46,107
2069,1,60
2071,1,2
2074,1,49
2082,29,14
2083,14,4
2086,10,19
2087,7,15
2088,4,16
2091,2,15
2092,1,37
2094,5,17
2095,26,55
2097,13,45
2100,3,6
2103,53,68
2106,78,84
2108,40,21
2112,20,6
2113,27,26
2114,63,23
2115,5,0
2117,49,63
2129,3,0
2132,5,5
2133,35,25
2135,35,25
2139,9,2
2142,81,2
2146,4,0
2149,9,2
2150,25,18
2152,4,2
2154,16,44
2155,11,12
2156,25,13
2160,10,8
2162,8,5
2163,0,9
2164,24,34
2165,8,84
2166,0,62
2167,3,12
2169,8,29
2170,4,803
2171,15,31
2172,18,143
2174,5,39
2175,3,19
2177,34,99
2178,3,21
2179,8,24
2180,7,63
2181,0,37
2182,6,37
2183,0,2
2184,29,51
2185,12,46
2186,1,38
2187,71,104
2188,12,39
2189,5,29
2190,1,6
2192,4,243
2193,8,133
2194,2,33
2195,4,14
2196,13,3
2197,1,20
2199,7,12
2200,5,11
2201,8,65
2202,11,10
2203,9,49
2204,10,35
2205,56,54
2206,13,40
2208,18,35
2210,10,29
2211,0,4
2212,0,7
2213,0,103
2214,17,14
2215,2,23
2216,10,61
